"county","unemp_rate_mar_2020","industry","job_count"
"Caswell County",3.8,"accommodation_food_services",126
"Caswell County",3.8,"other_services_ex__public_admin",80
"Caswell County",3.8,"public_admin",651
"Caswell County",3.8,"unclassified",0
"Catawba County",3.3,"all_industries",83698
"Catawba County",3.3,"agriculture_forestry_fishing_hunting",89
"Catawba County",3.3,"mining",32
"Catawba County",3.3,"utilities",354
"Catawba County",3.3,"construction",2824
"Catawba County",3.3,"manufacturing",22834
"Catawba County",3.3,"wholesale_trade",4270
"Catawba County",3.3,"retail_trade",10892
"Catawba County",3.3,"transportation_warehousing",4992
"Catawba County",3.3,"information",392
"Catawba County",3.3,"finance_insurance",1212
"Catawba County",3.3,"real_estate_rental_leasing",629
"Catawba County",3.3,"professional_technical_services",2568
"Catawba County",3.3,"mgt_of_companies_enterprises",1740
"Catawba County",3.3,"administrative_waste_services",4276
"Catawba County",3.3,"educational_services",4315
"Catawba County",3.3,"health_care_social_assistance",10311
"Catawba County",3.3,"arts_entertain_recreation",807
"Catawba County",3.3,"accommodation_food_services",6306
"Catawba County",3.3,"other_services_ex__public_admin",1623
"Catawba County",3.3,"public_admin",3234
"Catawba County",3.3,"unclassified",0
"Chatham County",2.6,"all_industries",14944
"Chatham County",2.6,"agriculture_forestry_fishing_hunting",532
"Chatham County",2.6,"mining",NA
"Chatham County",2.6,"utilities",3
"Chatham County",2.6,"construction",1113
"Chatham County",2.6,"manufacturing",NA
"Chatham County",2.6,"wholesale_trade",417
"Chatham County",2.6,"retail_trade",1721
"Chatham County",2.6,"transportation_warehousing",538
"Chatham County",2.6,"information",NA
"Chatham County",2.6,"finance_insurance",283
"Chatham County",2.6,"real_estate_rental_leasing",197
"Chatham County",2.6,"professional_technical_services",656
"Chatham County",2.6,"mgt_of_companies_enterprises",NA
"Chatham County",2.6,"administrative_waste_services",1
"Chatham County",2.6,"educational_services",1312
"Chatham County",2.6,"health_care_social_assistance",2396
"Chatham County",2.6,"arts_entertain_recreation",218
"Chatham County",2.6,"accommodation_food_services",1373
"Chatham County",2.6,"other_services_ex__public_admin",452
"Chatham County",2.6,"public_admin",1040
"Chatham County",2.6,"unclassified",0
"Cherokee County",3.8,"all_industries",7581
"Cherokee County",3.8,"agriculture_forestry_fishing_hunting",48
"Cherokee County",3.8,"mining",NA
"Cherokee County",3.8,"utilities",43
"Cherokee County",3.8,"construction",412
"Cherokee County",3.8,"manufacturing",598
"Cherokee County",3.8,"wholesale_trade",82
"Cherokee County",3.8,"retail_trade",1404
"Cherokee County",3.8,"transportation_warehousing",84
"Cherokee County",3.8,"information",77
"Cherokee County",3.8,"finance_insurance",186
"Cherokee County",3.8,"real_estate_rental_leasing",94
"Cherokee County",3.8,"professional_technical_services",571
"Cherokee County",3.8,"mgt_of_companies_enterprises",NA
"Cherokee County",3.8,"administrative_waste_services",114
"Cherokee County",3.8,"educational_services",687
"Cherokee County",3.8,"health_care_social_assistance",1331
"Cherokee County",3.8,"arts_entertain_recreation",45
"Cherokee County",3.8,"accommodation_food_services",886
"Cherokee County",3.8,"other_services_ex__public_admin",176
"Cherokee County",3.8,"public_admin",637
"Cherokee County",3.8,"unclassified",0
"Chowan County",3.8,"all_industries",4496
"Chowan County",3.8,"agriculture_forestry_fishing_hunting",143
"Chowan County",3.8,"mining",0
"Chowan County",3.8,"utilities",0
"Chowan County",3.8,"construction",155
"Chowan County",3.8,"manufacturing",474
"Chowan County",3.8,"wholesale_trade",398
"Chowan County",3.8,"retail_trade",582
"Chowan County",3.8,"transportation_warehousing",191
"Chowan County",3.8,"information",63
"Chowan County",3.8,"finance_insurance",100
"Chowan County",3.8,"real_estate_rental_leasing",21
"Chowan County",3.8,"professional_technical_services",170
"Chowan County",3.8,"mgt_of_companies_enterprises",62
"Chowan County",3.8,"administrative_waste_services",74
"Chowan County",3.8,"educational_services",338
"Chowan County",3.8,"health_care_social_assistance",849
"Chowan County",3.8,"arts_entertain_recreation",28
"Chowan County",3.8,"accommodation_food_services",333
