county,year,population
Cabarrus,2017,211381
Cabarrus,2026,255458
Cabarrus,2032,283590
Cabarrus,2044,340953
Cabarrus,2047,355097
Caldwell,2013,81615
Caldwell,2020,80620
Caldwell,2027,81227
Caldwell,2034,81257
Caldwell,2046,81259
Caldwell,2048,81259
Camden,2022,10915
Camden,2033,12541
Carteret,2021,68284
Carteret,2029,71841
Carteret,2034,73877
Caswell,2020,22736
Caswell,2029,21668
Caswell,2039,20717
Catawba,2012,155734
Chatham,2016,70574
Cherokee,2012,27266
Cherokee,2013,27217
Cherokee,2017,28296
Cherokee,2022,29177
Cherokee,2027,30234
Cherokee,2033,31501
Chowan,2017,13872
Chowan,2018,13802
Chowan,2022,13677
Chowan,2023,13722
Chowan,2034,13742
Chowan,2038,13749
Chowan,2042,13756
Chowan,2046,13764
Clay,2017,11130
Clay,2020,11115
Clay,2032,12626
Clay,2033,12746
Clay,2048,14533
Clay,2050,14771
Cleveland,2022,101874
Cleveland,2025,103964
Cleveland,2031,106113
Cleveland,2034,106637
Cleveland,2036,106876
Cleveland,2044,107340
Columbus,2012,56893
Columbus,2015,54489
Columbus,2024,49600
Columbus,2027,48906
Columbus,2030,48209
Columbus,2031,47976
Columbus,2032,47742
Columbus,2041,45645
Craven,2026,102367
Craven,2036,102603
Craven,2041,102627
Craven,2045,102635
Craven,2046,102637
Cumberland,2010,327275
Cumberland,2021,342082
Cumberland,2026,348081
Cumberland,2027,348587
Cumberland,2032,349718
Cumberland,2034,349867
Cumberland,2040,350017
Alamance,2019,169785
Cumberland,2045,350040
Alamance,2029,190773
Cumberland,2047,350044
Alamance,2031,194571
Currituck,2015,25122
Alamance,2032,196471
Currituck,2017,26061
Alamance,2036,204070
Currituck,2021,29602
Alamance,2038,207869
Currituck,2022,30904
Alamance,2041,213567
Currituck,2038,51760
Alexander,2018,36664
Currituck,2040,54369
Alexander,2026,36716
Currituck,2046,62189
Alexander,2031,36724
Currituck,2048,64796
Alexander,2034,36729
Dare,2015,35228
Alexander,2035,36730
Dare,2017,35939
Alexander,2039,36739
Dare,2025,39303
Alexander,2048,36752
Dare,2028,40672
Alleghany,2027,11188
Dare,2037,44775
Alleghany,2030,11222
Dare,2038,45232
Alleghany,2032,11247
Dare,2043,47510
Alleghany,2035,11282
Dare,2044,47967
Alleghany,2036,11293
Davidson,2015,163650
Alleghany,2043,11372
Davidson,2022,172093
Alleghany,2046,11406
Davidson,2034,189951
Anson,2010,26777
Davidson,2038,195796
Anson,2012,26003
Davidson,2039,197257
Anson,2015,24599
Davidson,2043,203104
Anson,2034,21134
Davidson,2048,210410
Anson,2043,21097
Davidson,2050,213330
Anson,2044,21096
Davie,2027,46093
Anson,2048,21091
Davie,2032,48429
Ashe,2014,26682
Davie,2041,52635
Ashe,2021,26701
Davie,2050,56841
Ashe,2023,26685
Duplin,2015,53663
Ashe,2024,26679
Duplin,2023,48754
Ashe,2025,26690
Duplin,2024,48762
Ashe,2037,26760
Duplin,2029,48784
Ashe,2041,26786
Duplin,2035,48805
Avery,2014,17752
Duplin,2038,48810
Avery,2015,17609
Duplin,2040,48811
Avery,2018,17788
Duplin,2046,48819
Avery,2022,17951
Durham,2018,315929
Avery,2023,17951
Durham,2019,322369
Avery,2024,17951
Durham,2041,420352
Avery,2030,17952
Edgecombe,2011,55809
Avery,2033,17951
Edgecombe,2018,49860
Avery,2040,17950
Edgecombe,2037,38985
Avery,2042,17951
Forsyth,2013,360646
Beaufort,2020,44669
