"county","year","population"
"Warren County",2044,19053
"Washington County",2014,12121
"Washington County",2020,10984
"Washington County",2025,10085
"Washington County",2027,9768
"Washington County",2032,9071
"Washington County",2039,8317
"Washington County",2047,7742
"Washington County",2048,7689
"Washington County",2050,7598
"Watauga County",2012,51869
"Watauga County",2013,51802
"Watauga County",2025,54004
"Watauga County",2027,55178
"Watauga County",2030,57018
"Watauga County",2041,60887
"Wayne County",2050,116965
"Wilkes County",2026,65312
"Wilkes County",2032,64831
"Wilkes County",2033,64769
"Wilkes County",2035,64662
"Wilson County",2015,79167
"Wilson County",2016,79013
"Wilson County",2017,78703
"Wilson County",2027,76012
"Wilson County",2029,75790
"Wilson County",2042,77832
"Wilson County",2044,78421
"Wilson County",2046,79044
"Wilson County",2047,79365
"Yadkin County",2013,37872
"Yadkin County",2017,37437
"Yadkin County",2022,37117
"Yadkin County",2023,37082
"Yadkin County",2041,36991
"Yancey County",2012,17809
"Yancey County",2017,18054
"Yancey County",2044,18101
"Yancey County",2049,18023
"Alamance County",2013,153643
"Alamance County",2033,198371
"Alamance County",2035,202172
"Alamance County",2042,215468
"Alamance County",2043,217367
"Alamance County",2047,224967
"Alexander County",2013,36837
"Alexander County",2014,36823
"Alexander County",2032,36726
"Alexander County",2033,36726
"Alexander County",2042,36744
"Alleghany County",2023,11142
"Alleghany County",2048,11430
"Anson County",2020,22054
"Anson County",2021,21586
"Anson County",2024,21376
"Anson County",2035,21126
"Anson County",2041,21101
"Anson County",2049,21089
"Ashe County",2016,26307
"Ashe County",2031,26723
"Ashe County",2033,26735
"Ashe County",2034,26743
"Ashe County",2040,26780
"Ashe County",2049,26832
"Avery County",2035,17951
"Avery County",2043,17952
"Avery County",2044,17952
"Beaufort County",2016,45733
"Beaufort County",2022,44395
"Beaufort County",2045,40859
"Bertie County",2024,16475
"Bertie County",2040,13572
"Bladen County",2012,33980
"Bladen County",2019,29977
"Bladen County",2029,28723
"Bladen County",2034,28715
"Bladen County",2041,28880
"Bladen County",2044,28976
"Brunswick County",2013,112685
"Brunswick County",2025,168650
"Brunswick County",2032,197831
"Brunswick County",2038,219091
"Brunswick County",2048,253313
"Buncombe County",2018,264849
"Buncombe County",2023,277266
"Buncombe County",2041,329573
